,HA258
0.025,0.0
0.05,0.0
0.07500000000000001,0.0
0.1,9.148712318741138e-05
0.125,0.00022871780796852843
0.15000000000000002,0.00011435890398426421
0.17500000000000002,0.00022871780796852843
0.2,0.0002744613695622341
0.225,0.00022871780796852843
0.25,0.0003202049311559398
0.275,0.00029733315035908694
0.30000000000000004,0.000434563835140204
0.325,0.000731896985499291
0.35000000000000003,0.0010292301358583778
0.375,0.0015781528749828461
0.4,0.0018297424637482274
0.42500000000000004,0.0028361008188097525
0.45,0.003476510681121632
0.47500000000000003,0.0058094323224006225
0.5,0.00651845752710306
0.525,0.009285943003522255
0.55,0.010749736974520837
0.5750000000000001,0.010886967659301952
0.6000000000000001,0.012831069027034445
0.625,0.01635332326974978
0.65,0.019097936965372125
0.675,0.025044599972553865
0.7000000000000001,0.03423905585288871
0.7250000000000001,0.04126069255752253
0.75,0.05292530076391748
0.775,0.06568775444856137
0.8,0.0744019029321623
0.8250000000000001,0.08304743607337267
0.8500000000000001,0.08023420703535977
0.875,0.08032569415854718
0.9,0.07620877361511368
0.925,0.06582498513334248
0.9500000000000001,0.05985545034536389
0.9750000000000001,0.04610951008645533
1.0,0.03444490188006038
1.0250000000000001,0.025890855862037418
1.05,0.01850327066465395
1.075,0.012282146287909976
1.1,0.007913636155711083
1.125,0.005100407117698184
1.1500000000000001,0.0034078953387310738
1.175,0.0012122043822332007
1.2000000000000002,0.0006175380815150268
1.225,0.0001601024655779699
1.25,6.861534239055853e-05
1.2750000000000001,0.0
1.3,0.0
1.3250000000000002,0.0
1.35,0.0
1.375,0.0
1.4000000000000001,0.0
1.425,0.0
1.4500000000000002,0.0
1.475,0.0
1.5,0.0
1.5250000000000001,0.0
1.55,0.0
1.5750000000000002,0.0
1.6,0.0
1.625,0.0
1.6500000000000001,0.0
1.675,0.0
1.7000000000000002,0.0
1.725,0.0
1.75,0.0
1.7750000000000001,0.0
1.8,0.0
1.8250000000000002,0.0
1.85,0.0
1.875,0.0
1.9000000000000001,0.0
1.925,0.0
1.9500000000000002,0.0
1.975,0.0
2.0,0.0
2.025,0.0
2.0500000000000003,0.0
2.075,0.0
2.1,0.0
2.125,0.0
2.15,0.0
2.1750000000000003,0.0
2.2,0.0
2.225,0.0
2.25,0.0
2.275,0.0
2.3000000000000003,0.0
2.325,0.0
2.35,0.0
2.375,0.0
2.4000000000000004,0.0
2.4250000000000003,0.0
2.45,0.0
2.475,0.0
2.5,0.0
2.5250000000000004,0.0
2.5500000000000003,0.0
2.575,0.0
2.6,0.0
2.625,0.0
2.6500000000000004,0.0
2.6750000000000003,0.0
2.7,0.0
2.725,0.0
2.75,0.0
